objectid,MRRC_collection,title,edition,signature,publisher,date,publication_mo,publication_format,price,advertisements,puffs,extracts,tributes,worldcat_link,hathitrust_link,internetarchive_link,britishlibrary_link,estc_link,other_libraries,licensed_databases,notes,subject,linked_reviews,linked_portraits,display_template,image_small,image_thumb
vol_ainsi_1790,volumes,"Ainsi va le Monde, a Poem. Inscribed to Robert Merry, Esq. A.M.",First,Laura Maria,Printed for John Bell,1790,11,quarto,1s. 6d.,"Gazetteer 1790-11-10; Morning Chronicle    
1790-12-20, 1790-12-25",Oracle 1790-05-27,,,https://www.worldcat.org/title/54141844,,,,https://datb.cerl.org/estc/N29514,,,,Ainsi va le Monde,rev_ainsi_1790_anarev; rev_ainsi_1791_crirev; rev_ainsi_1790_genmag; rev_ainsi_1791_tcmag,,image,https://mrrc.leighbonds.org/objects/imagenotavailable_sm.jpg,https://mrrc.leighbonds.org/objects/imagenotavailable_th.jpg
vol_ainsi_1790_2,volumes,"Ainsi va le Monde, a Poem. Inscribed to Robert Merry, Esq. A.M.",Second,Laura Maria,Printed for John Bell,1791,4,quarto,1s. 6d.,Oracle 1791-04-11,,,,https://www.worldcat.org/title/1204961315,,,https://www.google.com/books/edition/Ainsi_Va_Le_Monde_a_Poem_Inscribed_to_Ro/31CZy11mNMgC,https://datb.cerl.org/estc/N33449,,Eighteenth Century Collections Online (Gale),,Ainsi va le Monde,rev_ainsi_1791_monrev,,image,https://mrrc.leighbonds.org/objects/ainsivalemonde_sm.jpg,https://mrrc.leighbonds.org/objects/ainsivalemonde_th.jpg
vol_angelina_1796,volumes,"Angelina; a Novel, in Three Volumes.",First,Mrs. Mary Robinson,Printed for the Author ,1796,1,duodecimo,13s. 6d. boards,"Morning Post 1796-01-05, 1796-01-16, 1796-02-05, 1796-02-12; ","Oracle 1796-01-04, 1796-01-07, 1796-01-13, 1796-01-13, 1796-01-23; Morning Post 1796-01-14",Morning Post 1796-01-05; Morning Chronicle 1796-01-12,,https://www.worldcat.org/title/1325877107,,https://archive.org/details/bim_eighteenth-century_angelina-a-novel-b_robinson-mary-poetical_1796_1,,https://datb.cerl.org/estc/T94331,,Eighteenth Century Collections Online (Gale),,Angelina,rev_angelina_1796_anarev; rev_angelina_1796_bricri; rev_angelina_1796_crirev; rev_angelina_1796_engrev; rev_angelina_1799_fremag; rev_angelina_1796_monmir;  rev_angelina_1796_monrev; rev_angelina_1799_regtim,,image,https://mrrc.leighbonds.org/objects/angelina_sm.jpg,https://mrrc.leighbonds.org/objects/angelina_th.jpg
vol_angelina_1796_2,volumes,"Angelina; a Novel, in Three Volumes.",Second,Mary Robinson,Printed for the Author ,1796,6,duodecimo,13s. 6d.,"Oracle 1796-05-19, 1796-06-10, 1796-10-12; Sun 1796-06-09, 1796-10-12, 1796-10-15; Telegraph 1796-06-11; Morning Post 1796-06-15, 1798-01-08; True Briton 1796-10-13","Oracle 1796-02-01, 1796-03-24, 1797-06-08, 1798-01-16",,,,,,,,,Nineteenth Century Collections Online (Gale),,Angelina,,,image,https://mrrc.leighbonds.org/objects/angelina_2_sm.jpg,https://mrrc.leighbonds.org/objects/angelina_2_th.jpg
vol_angelina_1796_dub,volumes,"Angelina; a Novel, in Two Volumes.",Dublin,Mrs. Mary Robinson,"Printed by N. Kelly, for P. Wogan, P. Byrne, J. Moore, W. Jones, and J. Rice",1796,,duodecimo,,,,,,https://www.worldcat.org/title/1264922857,,,,https://datb.cerl.org/estc/N30267,,Eighteenth Century Collections Online (Gale),,Angelina,,,image,https://mrrc.leighbonds.org/objects/angelina_dub_sm.jpg,https://mrrc.leighbonds.org/objects/angelina_dub_th.jpg
vol_angelina_1796_fre,volumes,Angelina,French,,,,,,,,,,,,,,,,,,Listed in Nouveau Larousse Illustré (1898) 7:342,Angelina,,,image,https://mrrc.leighbonds.org/objects/imagenotavailable_sm.jpg,https://mrrc.leighbonds.org/objects/imagenotavailable_th.jpg
vol_angelina_1799_ger,volumes,Angelina. Aus dem Englischen der Mrs. Marie Robinson.,German,Mrs. Marie Robinson,Johann Christian Schubart,1799-1800,,octavo,,,Morning Post 1796-02-02; Oracle 1796-02-06,,,https://www.worldcat.org/title/429186364,https://catalog.hathitrust.org/Record/100861629,,,,http://dx.doi.org/10.25673/78631,,,Angelina,,,image,https://mrrc.leighbonds.org/objects/angelina_ger_sm.jpg,https://mrrc.leighbonds.org/objects/angelina_ger_th.jpg
vol_lyrical_1800,volumes,Lyrical Tales,First,Mrs. Mary Robinson,Printed for T. N. Longman and O. Rees,1800,11,octavo,5s.,"Morning Post 1800-08-27, 1801-05-29, 1801-07-31, 1801-08-03, 1801-10-13; Oracle 1800-11-20, 1800-11-22; London Chronicle 1800-12-[6-9]; General Evening Post 1800-12-[16-18]; Morning Chronicle 1801-01-08",Morning Post 1800-11-14,,,https://www.worldcat.org/title/6658968,,https://archive.org/details/lyricaltales00robi/page/n6/mode/1up,https://www.google.com/books/edition/Lyrical_Tales/tTZcAAAAcAAJ,https://datb.cerl.org/estc/T99761,,Eighteenth Century Collections Online (Gale),,Lyrical Tales,rev_lyrical_1801_bricri; rev_lyrical_1800_eurmag; rev_lyrical_1801_monrev; rev_lyrical_1801_monvis,port_burke_1791,image,https://mrrc.leighbonds.org/objects/lyricaltales_sm.jpg,https://mrrc.leighbonds.org/objects/lyricaltales_th.jpg
vol_poems_1791,volumes,Poems,First,Mrs. M. Robinson,Printed by J. Bell,1791,5,octavo,"1gn. Royal Vellum paper, boards","World 1791-01-27, 1791-04-14, 1791-04-27, 1791-05-03, 1791-05-19; Oracle 1791-04-04, 1791-04-11, 1791-04-18, 1791-04-21, 1791-04-26, 1791-05-03, 1791-05-16, 1791-05-25, 1791-12-03 (2nd ed.), 1794-10-20 (with Vol. 2); Whitehall Evening Post 1791-04-07; Diary or Woodfall's Register 1791-04-09; Morning Chronicle 1791-04-09; Morning Post 1791-04-27","Diary or Woodfall's Register 1791-01-05, 1791-04-01; World 1791-03-25, 1791-03-26; Oracle, 1791-04-21, 1791-05-03",,,https://www.worldcat.org/title/79520964,https://catalog.hathitrust.org/Record/009471468,,,https://datb.cerl.org/estc/T99736,,Eighteenth Century Collections Online (Gale),,Poems (1791),rev_poems_1791_abemag; rev_poems_1791_anarev; rev_poems_1791_crirev; rev_poems_1792_engrev; rev_poems_1791_eurmag; rev_poems_1792_genmag; rev_poems_1791_gentmag; rev_poems_1791_monrev; rev_poems_1791_nareg; rev_poems_1791_tcmag,port_burke_1791,image,https://mrrc.leighbonds.org/objects/poems_sm.jpg,https://mrrc.leighbonds.org/objects/poems_th.jpg
vol_poetryworld3_1791,volumes,The Poetry of The World. Vol. III. ,First,Laura,"Printed by S. Gosnell, for James Ridgway",1791,2,octavo,"3s. 6d. each, 7s. set","World 1791-02-05, 1791-02-08, 1791-02-09, 1791-02-10, 1791-02-17, 1791-08-12, 1791-08-26, 1791-09-08, 1791-09-15, 1791-10-13, 1791-11-04, 1791-11-17",World 1791-02-14,,,https://www.worldcat.org/title/642116251,,,,https://datb.cerl.org/estc/N11884,,Eighteenth Century Collections Online (Gale),,The Poetry of The World,,,image,https://mrrc.leighbonds.org/objects/poetryoftheworld_3_sm.jpg,https://mrrc.leighbonds.org/objects/poetryoftheworld_3_th.jpg
vol_poetryworld4_1791,volumes,The Poetry of The World. Vol. IV. ,First,"Laura, Mrs. Robinson","Printed by S. Gosnell, for James Ridgway",1791,2,octavo,"3s. 6d. each, 7s. set","World 1791-02-05, 1791-02-08, 1791-02-09, 1791-02-10, 1791-02-17, 1791-08-12, 1791-08-26, 1791-09-08, 1791-09-15, 1791-10-13, 1791-11-04, 1791-11-17",World 1791-02-14,,,https://www.worldcat.org/title/38417123,,,,,,Eighteenth Century Collections Online (Gale),,The Poetry of The World,,port_vanassen_1791,image,https://mrrc.leighbonds.org/objects/poetryoftheworld_4_sm.jpg,https://mrrc.leighbonds.org/objects/poetryoftheworld_4_th.jpg
vol_sappho_1796,volumes,"Sappho and Phaon. In a Series of Legitimate Sonnets, with Thoughts on Poetical Subjects, and Anecdotes of the Grecian Poetess.",First,Mary Robinson,"Printed by S. Gosnell, for the Author",1796,10,octavo,"wove paper, hot-pressed, engraving 7s. 6d. boards, 10s. 6d. bound; 12s. 6d. bound in Morocco with tinted engraving","Morning Chronicle 1796-10-12, 1796-10-21, 1796-10-22, 1797-02-08; Morning Post 1796-10-12, 1796-10-21, 1796-11-26, 1796-11-28, 1796-12-13; True Briton 1796-10-13, 1796-10-22, 1796-11-30; Star 1796-10-18; Oracle 1796-10-21, 1796-10-26, 1796-11-25, 1796-11-26, 1796-12-03, 1796-12-14",Oracle 1797-10-15,Morning Post 1796-11-26,True Briton 1797-02-08; Whitehall Evening Post 1797-03-[28-30],https://www.worldcat.org/title/7021584,,,,https://datb.cerl.org/estc/T94336,https://www.google.com/books/edition/Sappho_and_Phaon_In_a_series_of_legitima/7K5YAAAAcAAJ,,,Sappho and Phaon,rev_sappho_1796_anarev; rev_sappho_1796_bricri; rev_sappho_1797_crirev; rev_sappho_1797_engmag; rev_sappho_1796_engrev; rev_sappho_1796_eurmag; rev_sappho_1797_fremag; rev_sappho_1797_monmag; rev_sappho_1796_monmir; rev_sappho_1797_monrev; rev_sappho_1797_monvis; rev_sappho_1796_nareg,,image,https://mrrc.leighbonds.org/objects/sappho_sm.jpg,https://mrrc.leighbonds.org/objects/sappho_th.jpg
vol_shrine_1794,volumes,The Shrine of Bertha,First,"""Mother""",Printed for the Author,1794,3,duodecimo,"7s. 6d. sewed, 6s. sewed","Oracle 1794-03-18; Morning Chronicle 1794-03-24, 1794-04-30; Whitehall Evening Post 1794-04-[1-3], 1794-11-[22-25], 1794-11-[25-27]; Lloyd's Evening Post 1794-04-[4-7], 1794-04-[07-09]; World 1794-04-08; St. James's Chronicle 1794-04-[10-12]; Morning Post 1794-03-12, 1794-04-29, 1794-06-06, 1794-11-05, 1794-11-06; London Packet 1795-01-[09-12]",Morning Post 1794-04-07,Oracle 1794-04-21,Oracle 1794-04-30,https://www.worldcat.org/title/1205229165,,,,https://datb.cerl.org/estc/T94338,,Eighteenth Century Collections Online (Gale),,The Shrine of Bertha,,,image,https://mrrc.leighbonds.org/objects/shrineofbertha_sm.jpg,https://mrrc.leighbonds.org/objects/shrineofbertha_th.jpg
